name,sector,fit_t_start,fit_t_stop,fit_width,td_Momega_real,td_Momega_imag_abs,relative_residual
Schwarzschild_ReggeWheeler_l2,gravitational_odd,80.0,180.0,100.0,0.3734211968366176,0.08807266640031432,0.005545917892136143
Schwarzschild_ReggeWheeler_l2,gravitational_odd,90.0,190.0,100.0,0.37398850488955676,0.09024468283308905,0.008018003773250357
Schwarzschild_ReggeWheeler_l2,gravitational_odd,100.0,200.0,100.0,0.37363987451829983,0.08999622190652014,0.005705400477551328
Schwarzschild_ReggeWheeler_l2,gravitational_odd,110.0,210.0,100.0,0.37391943676287315,0.08715878844924836,0.00984148385578437
Schwarzschild_ReggeWheeler_l2,gravitational_odd,120.0,220.0,100.0,0.37349414166071165,0.08482599633814875,0.022503741039990522
Schwarzschild_ReggeWheeler_l2,gravitational_odd,130.0,230.0,100.0,0.3731926730091229,0.08712478173048893,0.01117803380627571
Schwarzschild_ReggeWheeler_l2,gravitational_odd,140.0,240.0,100.0,0.3739525234066997,0.08985275067594994,0.0059669614147374525
Schwarzschild_ReggeWheeler_l2,gravitational_odd,150.0,250.0,100.0,0.3737736905728251,0.09036241681751317,0.008035464317734298
Schwarzschild_ReggeWheeler_l2,gravitational_odd,160.0,260.0,100.0,0.37368809032461814,0.08813749939646488,0.005083845607408299
Schwarzschild_Zerilli_l2,gravitational_even,40.0,100.0,60.0,0.3704807191072756,0.08761744225540269,0.01609457720629126
Schwarzschild_Zerilli_l2,gravitational_even,50.0,110.0,60.0,0.37298664474196475,0.09079524894040342,0.009609952069097559
Schwarzschild_Zerilli_l2,gravitational_even,60.0,120.0,60.0,0.3739881273262361,0.08592490910241864,0.016981455677611536
Schwarzschild_Zerilli_l2,gravitational_even,70.0,130.0,60.0,0.373354837738682,0.08211124011893088,0.038067390532056544
Schwarzschild_Zerilli_l2,gravitational_even,80.0,140.0,60.0,0.3728784876068352,0.0858837478152148,0.018617027830689994
Schwarzschild_Zerilli_l2,gravitational_even,90.0,150.0,60.0,0.3741777767237591,0.0905791001390462,0.010463190012341103
Schwarzschild_Zerilli_l2,gravitational_even,100.0,160.0,60.0,0.373732478343151,0.091247160781451,0.012467841960884449
Schwarzschild_Zerilli_l2,gravitational_even,110.0,170.0,60.0,0.3739393968216941,0.08756529660390526,0.007750839717858387
Schwarzschild_Zerilli_l2,gravitational_even,120.0,180.0,60.0,0.37379915746499387,0.08244637482451418,0.03582688827105525
Schwarzschild_Zerilli_l2,gravitational_even,130.0,190.0,60.0,0.3726944503394845,0.08433418598705496,0.027279120502365313
Schwarzschild_Zerilli_l2,gravitational_even,140.0,200.0,60.0,0.3739165744483465,0.0896003328117541,0.004485725775478914
Schwarzschild_Zerilli_l2,gravitational_even,150.0,210.0,60.0,0.374014503808695,0.09152891377320327,0.014750107695380061
Schwarzschild_Zerilli_l2,gravitational_even,160.0,220.0,60.0,0.37359322931688466,0.08899402523519155,0.0013933413541635717
Schwarzschild_Zerilli_l2,gravitational_even,40.0,110.0,70.0,0.3703732407154143,0.08722627168209972,0.01646777012397523
Schwarzschild_Zerilli_l2,gravitational_even,50.0,120.0,70.0,0.37299153524925527,0.09054978224631653,0.008353477767491544
Schwarzschild_Zerilli_l2,gravitational_even,60.0,130.0,70.0,0.3738994179508396,0.08641187036544738,0.014225135432800554
Schwarzschild_Zerilli_l2,gravitational_even,70.0,140.0,70.0,0.373393981716819,0.08312648706474758,0.032229810755832325
Schwarzschild_Zerilli_l2,gravitational_even,80.0,150.0,70.0,0.37298646536790037,0.0863173412752157,0.01600855199060866
Schwarzschild_Zerilli_l2,gravitational_even,90.0,160.0,70.0,0.3740954174672777,0.09030578837791303,0.008745174041988922
Schwarzschild_Zerilli_l2,gravitational_even,100.0,170.0,70.0,0.37372013460236625,0.09090642953527571,0.010635907676936352
Schwarzschild_Zerilli_l2,gravitational_even,110.0,180.0,70.0,0.37388005739889824,0.08780011532210083,0.006409576159172809
Schwarzschild_Zerilli_l2,gravitational_even,120.0,190.0,70.0,0.3737752620244255,0.0834240237749383,0.030238800414475967
Schwarzschild_Zerilli_l2,gravitational_even,130.0,200.0,70.0,0.37282641021154483,0.08500522455407866,0.023319739215659958
Schwarzschild_Zerilli_l2,gravitational_even,140.0,210.0,70.0,0.37387172997436074,0.08946101231993603,0.003638733727048441
Schwarzschild_Zerilli_l2,gravitational_even,150.0,220.0,70.0,0.37397249496662216,0.09114853781169917,0.01262962910400497
Schwarzschild_Zerilli_l2,gravitational_even,160.0,230.0,70.0,0.37356103062747664,0.08900559319533097,0.0015619997071497816
Schwarzschild_Zerilli_l2,gravitational_even,40.0,120.0,80.0,0.3703028859669573,0.08696900789840203,0.01695207575596323
Schwarzschild_Zerilli_l2,gravitational_even,50.0,130.0,80.0,0.3730021590152956,0.09036060946023934,0.00739169180146329
Schwarzschild_Zerilli_l2,gravitational_even,60.0,140.0,80.0,0.373851391542009,0.08670971385926325,0.012573218247504004
Schwarzschild_Zerilli_l2,gravitational_even,70.0,150.0,80.0,0.37342841145222694,0.08383102877097454,0.028196407576527728
Schwarzschild_Zerilli_l2,gravitational_even,80.0,160.0,80.0,0.3730740800871144,0.08665793082443089,0.013936835728111165
Schwarzschild_Zerilli_l2,gravitational_even,90.0,170.0,80.0,0.3740462607403848,0.09014277227892104,0.007709575068009728
Schwarzschild_Zerilli_l2,gravitational_even,100.0,180.0,80.0,0.37371643337694055,0.09066180312357794,0.009342858654351652
Schwarzschild_Zerilli_l2,gravitational_even,110.0,190.0,80.0,0.37385258517785663,0.08792400776427758,0.005722673424503864
Schwarzschild_Zerilli_l2,gravitational_even,120.0,200.0,80.0,0.37376691200999124,0.08408632240681504,0.026480906826349487
Schwarzschild_Zerilli_l2,gravitational_even,130.0,210.0,80.0,0.37292902838535413,0.0855054450706448,0.020349557906928523
Schwarzschild_Zerilli_l2,gravitational_even,140.0,220.0,80.0,0.37385117913078963,0.08939784542531397,0.0032584834654284267
Schwarzschild_Zerilli_l2,gravitational_even,150.0,230.0,80.0,0.37394740550410743,0.09088719186251316,0.011211015610565723
Schwarzschild_Zerilli_l2,gravitational_even,160.0,240.0,80.0,0.37354995274427844,0.08898004440118684,0.0017206031069355076
Schwarzschild_Zerilli_l2,gravitational_even,40.0,140.0,100.0,0.3702023655871696,0.0865952090364073,0.017850033131983516
Schwarzschild_Zerilli_l2,gravitational_even,50.0,150.0,100.0,0.37301471100565575,0.0901086332155362,0.006114400839216917
Schwarzschild_Zerilli_l2,gravitational_even,60.0,160.0,100.0,0.3737771771547239,0.08716530728260467,0.010048108475780531
Schwarzschild_Zerilli_l2,gravitational_even,70.0,170.0,100.0,0.3734781592567695,0.08483838481542594,0.02249336640884493
Schwarzschild_Zerilli_l2,gravitational_even,80.0,180.0,100.0,0.3731918385506528,0.08711412780492793,0.011179977414167824
Schwarzschild_Zerilli_l2,gravitational_even,90.0,190.0,100.0,0.3739713680789072,0.08989257017469561,0.006122088791359289
Schwarzschild_Zerilli_l2,gravitational_even,100.0,200.0,100.0,0.3737112803439047,0.09032317783812706,0.007532398140323399
Schwarzschild_Zerilli_l2,gravitational_even,110.0,210.0,100.0,0.3738062678538628,0.08813172407125151,0.0045660955372112
Schwarzschild_Zerilli_l2,gravitational_even,120.0,220.0,100.0,0.3737550717494603,0.08504415658987563,0.021099947470149188
Schwarzschild_Zerilli_l2,gravitational_even,130.0,230.0,100.0,0.3730711047213671,0.08619503599170307,0.016293498922973517
Schwarzschild_Zerilli_l2,gravitational_even,140.0,240.0,100.0,0.3738138147815999,0.08928273082584136,0.00258350296473893
Schwarzschild_Zerilli_l2,gravitational_even,150.0,250.0,100.0,0.37391344600063103,0.09051734935517511,0.009188693715371678
Schwarzschild_Zerilli_l2,gravitational_even,160.0,260.0,100.0,0.3735264867484701,0.08897165902501776,0.0019387066446902915
