"scenario","description","delta_f_bound","domega_lower","samples","df221_mean","dtau221_mean","df221_sigma","dtau221_sigma","df_dtau_correlation","operator","polarization","dlnf221_dalpha","dlntau221_dalpha","alpha_best","alpha_sigma","alpha_q05","alpha_q95","zero_inside_90pct","sigma_from_alpha0","chi2_best","chi2_alpha0"
"public_df_bound_0p8","same lower-tail cut as the public Figure 4 script",0.8,-0.5506710358827784,61834.,0.23945757245936086,0.06695584126597573,0.19575697955557836,0.44112739988441646,0.02817430527894002,"lambda_ev","plus",-0.6417653593128632,-1.251644292330667,-0.23689538823056303,0.23383368171013688,-0.6215175676948979,0.14772679123377178,1.,1.0130935222763224,0.48372998345136364,1.5100884683296087
"public_df_bound_0p8","same lower-tail cut as the public Figure 4 script",0.8,-0.5506710358827784,61834.,0.23945757245936086,0.06695584126597573,0.19575697955557836,0.44112739988441646,0.02817430527894002,"lambda_ev","minus",-0.10575027336632066,2.915395851594863,0.002645660191536755,0.15040310733300022,-0.24474543640992022,0.25003675679299375,1.,0.017590462314578073,1.5097790439651682,1.5100884683296087
"public_df_bound_0p8","same lower-tail cut as the public Figure 4 script",0.8,-0.5506710358827784,61834.,0.23945757245936086,0.06695584126597573,0.19575697955557836,0.44112739988441646,0.02817430527894002,"lambda_odd","plus",0.38310592655174863,2.072338916513116,0.11570286973678291,0.19841233864297464,-0.21065638511203766,0.44206212458560346,1.,0.5831435208521986,1.1700321024177103,1.5100884683296087
"public_df_bound_0p8","same lower-tail cut as the public Figure 4 script",0.8,-0.5506710358827784,61834.,0.23945757245936086,0.06695584126597573,0.19575697955557836,0.44112739988441646,0.02817430527894002,"lambda_odd","minus",-0.38310592655174863,-2.072338916513116,-0.11570286973678291,0.19841233864297464,-0.44206212458560346,0.21065638511203766,1.,0.5831435208521986,1.1700321024177103,1.5100884683296087
"public_df_bound_0p8","same lower-tail cut as the public Figure 4 script",0.8,-0.5506710358827784,61834.,0.23945757245936086,0.06695584126597573,0.19575697955557836,0.44112739988441646,0.02817430527894002,"epsilon1","plus",-2.0008221336699696,-0.08178538463929542,-0.11955226450879727,0.09783334194265073,-0.2804737918399499,0.04136926282235537,1.,1.2219991889766788,0.0168064504699481,1.5100884683296087
"public_df_bound_0p8","same lower-tail cut as the public Figure 4 script",0.8,-0.5506710358827784,61834.,0.23945757245936086,0.06695584126597573,0.19575697955557836,0.44112739988441646,0.02817430527894002,"epsilon1","minus",-7.339749282387388,-8.813353389934536,-0.027257077642481753,0.02380837355590317,-0.0664183672377246,0.011904211952761097,1.,1.1448525695583893,0.19940106230516189,1.5100884683296087
"public_df_bound_0p8","same lower-tail cut as the public Figure 4 script",0.8,-0.5506710358827784,61834.,0.23945757245936086,0.06695584126597573,0.19575697955557836,0.44112739988441646,0.02817430527894002,"epsilon2","plus",-2.890404467020634,-2.4172945672716226,-0.07656080743810888,0.06406102516466163,-0.18193181702643207,0.028810202150214334,1.,1.195123044648723,0.08176937647917469,1.5100884683296087
"public_df_bound_0p8","same lower-tail cut as the public Figure 4 script",0.8,-0.5506710358827784,61834.,0.23945757245936086,0.06695584126597573,0.19575697955557836,0.44112739988441646,0.02817430527894002,"epsilon2","minus",-7.915026350736427,-5.365576612648539,-0.028895506472570304,0.023860643383871276,-0.06814277228392662,0.010351759338786015,1.,1.2110112040022514,0.043540332110626315,1.5100884683296087
"public_df_bound_0p8","same lower-tail cut as the public Figure 4 script",0.8,-0.5506710358827784,61834.,0.23945757245936086,0.06695584126597573,0.19575697955557836,0.44112739988441646,0.02817430527894002,"epsilon3","plus",-0.12263191063903157,-1.3916133290538466,-0.11079039395312433,0.31248198470331445,-0.6247775198493655,0.40319673194311684,1.,0.35454970006771475,1.3843829785115023,1.5100884683296087
"public_df_bound_0p8","same lower-tail cut as the public Figure 4 script",0.8,-0.5506710358827784,61834.,0.23945757245936086,0.06695584126597573,0.19575697955557836,0.44112739988441646,0.02817430527894002,"epsilon3","minus",0.12263191063903157,1.3916133290538466,0.11079039395312433,0.31248198470331445,-0.40319673194311684,0.6247775198493655,1.,0.35454970006771475,1.3843829785115023,1.5100884683296087
